#Gene	Genome Location	Role in Cancer	Tumour Type(Somatic)	Tumor Type(Germline)	Mutated Tumor Samples(Bert Vogelstein125)	Cancer Type(SMG127)	Putative Driver Category(Comprehensive435)
ATF7IP	.	.	.	.	.	.	Candidate driver
ATG13	.	.	.	.	.	.	High Confidence Driver
ATIC	2:215312144-215349656	oncogene	ALCL	.	.	.	.
ATM	11:108227625-108365508	TSG	T-PLL	leukaemia; lymphoma; medulloblastoma; glioma	242	.	High Confidence Driver
ATP1A1	1:116373512-116404444	oncogene/TSG	adrenal aldosterone producing adenoma	.	.	.	.
ATP2B3	X:153536248-153580003	TSG	adrenal aldosterone producing adenoma	.	.	.	.
ATR	3:142449429-142578704	TSG	endometrial; gastric; epithelial ovarian; myeloma	oropharyngeal	.	UCEC	High Confidence Driver
ATRX	X:77508351-77786001	TSG	pancreatic neuroendocrine tumours; paediatric GBM	.	50	GBM	High Confidence Driver
AXIN1	16:288122-347025	TSG	colorectal; endometrial; prostate; hepatocellular carcinoma; hepatoblastoma; sporadic medulloblastoma	.	117	.	.
AXIN2	17:65529976-65558620	TSG	colorectal carcinoma; stomach carcinoma; hepatocellular carcinoma	colorectal carcinoma	.	.	High Confidence Driver
B2M	15:44711547-44716342	TSG	DLBCL; melanoma; colorectal adenocarcinoma	.	30	.	High Confidence Driver
BAP1	3:52402288-52409878	TSG	uveal melanoma; breast; NSCLC; RCC	mesothelioma; uveal melanoma	99	KIRC	High Confidence Driver
BARD1	.	.	.	.	.	.	High Confidence Driver
BAZ1B	.	.	.	.	.	.	Candidate driver
BAZ2A	.	.	.	.	.	.	Candidate driver
BCL10	1:85267627-85276352	oncogene/TSG	MALT	.	.	.	.
BCL11A	2:60460404-60553270	oncogene	B-CLL	.	.	.	.
BCL11B	14:99174151-99271218	oncogene/TSG	T-ALL	.	.	.	.
BCL2	18:63128625-63318666	oncogene	NHL; CLL	.	45	.	.
BCL3	19:44748791-44759615	oncogene	CLL	.	.	.	.
BCL5	17:-	oncogene	CLL	.	.	.	.
BCL6	3:187722458-187733693	oncogene	NHL; CLL	.	.	.	.
BCL7A	12:122022092-122059163	oncogene	BNHL	.	.	.	.
BCL9	1:147611837-147624864	oncogene	B-ALL	.	.	.	.
BCL9L	.	.	.	.	.	.	Candidate driver
BCLAF1	.	.	.	.	.	.	High Confidence Driver
BCOR	X:40052109-40077929	TSG	retinoblastoma; AML; APL (translocation)	.	21	.	High Confidence Driver
BCORL1	X:130005232-130056136	oncogene/TSG	AML; HNSCC	.	.	.	.
BCR	22:23180961-23315522	oncogene	CML; ALL; AML	.	.	.	.
BIRC3	11:102324510-102337102	oncogene/TSG	CLL; MALT; MCL; MM	.	.	.	.
BLM	15:90747393-90815279	TSG	.	leukaemia; lymphoma; skin squamous cell; other tumour types	.	.	High Confidence Driver
BMPR1A	10:86876019-86923719	oncogene/TSG	.	gastrointestinal polyps	.	.	.
BRAF	7:140734597-140924703	oncogene	melanoma; colorectal; papillary thyroid; borderline ovarian; NSCLC; cholangiocarcinoma; pilocytic astrocytoma; Spitzoid tumour; pancreas acinar carcinoma; melanocytic nevus; prostate; gastric	.	24288	COAD/READ,LUAD,GBM	High Confidence Driver
BRCA1	17:43045678-43124096	TSG	ovarian	breast; ovarian	62	.	High Confidence Driver
BRCA2	13:32316461-32398770	TSG	breast; ovarian; pancreatic	breast; ovarian; pancreatic; leukaemia (FANCB; FANCD1)	67	OV	High Confidence Driver
BRD3	9:134033590-134053477	oncogene	lethal midline carcinoma of young people	.	.	.	.
BRD4	19:15249280-15273099	oncogene	lethal midline carcinoma of young people	.	.	.	.
BRIP1	17:61683296-61861539	TSG	.	AML; leukaemia; breast	.	.	.
BTG1	12:92144080-92145535	TSG	B-CLL	.	.	.	.
BTK	X:101349885-101375284	oncogene/TSG	CLL; mantle cell lymphoma	.	.	.	.
BUB1B	15:40161221-40220759	TSG	.	rhabdomyosarcoma	.	.	High Confidence Driver
C12orf9	12:-	.	lipoma	.	.	.	.
C15orf65	15:-	.	PMBL; Hodgkin lymphoma	.	.	.	.
C2orf44	2:24030933-24039494	oncogene	colorectal	.	.	.	.
CACNA1D	3:53495167-53811406	oncogene	adrenal aldosterone producing adenoma	.	.	.	.
CAD	.	.	.	.	.	.	High Confidence Driver
CALR	19:12938680-12943913	oncogene	MPN; MDS	.	.	.	.
CAMTA1	1:6785531-7766491	TSG	epithelioid haemangioendothelioma	.	.	.	.
CANT1	17:78993550-78997622	oncogene	prostate	.	.	.	.
CARD11	7:2906638-2958506	oncogene	DLBCL	.	74	.	.
CARM1	.	.	.	.	.	.	High Confidence Driver
CARS	11:3001114-3057367	oncogene/TSG	ALCL	.	.	.	.
CASC5	15:40602933-40654977	.	AML	.	.	.	.
CASP8	2:201266487-201286594	TSG	hepatocellular; oral squamous cell; breast	.	21	.	High Confidence Driver
CAST	.	.	.	.	.	.	High Confidence Driver
CBFA2T3	16:88876976-88976807	.	AML	.	.	.	.
CBFB	16:67029409-67098733	TSG	AML	.	.	BRCA	High Confidence Driver
CBL	11:119206418-119299781	oncogene/TSG	AML; JMML; MDS	.	168	.	.
CBLB	3:105658970-105867577	TSG	AML	.	.	.	.
CBLC	19:44777932-44800443	oncogene/TSG	AML	.	.	.	.
CCAR1	.	.	.	.	.	.	High Confidence Driver
CCDC6	10:59792917-59906424	TSG	papillary thyroid; CML; NSCLC	.	.	.	.
CCNB1IP1	14:20311550-20316523	TSG	leiomyoma	.	.	.	.
CCND1	11:69641314-69651282	oncogene	CLL; B-ALL; breast	.	.	UCEC	High Confidence Driver
CCND2	12:4274041-4300009	oncogene	NHL; CLL	.	.	.	.
CCND3	6:41935940-41941649	oncogene	MM	.	.	.	.
CCNE1	19:29812556-29823777	oncogene	serous ovarian	.	.	.	.
CD274	9:5456114-5467862	TSG	PMBL; Hodgkin lymphoma	.	.	.	.
CD74	5:150402584-150412749	oncogene	NSCLC	.	.	.	.
CD79A	19:41877305-41880980	oncogene	DLBCL; WM	.	.	.	.
CD79B	17:63929226-63932261	oncogene	DLBCL; WM	.	.	.	.
CDC73	1:193122201-193250712	TSG	parathyroid adenoma	parathyroid adenoma; multiple ossifying jaw fibroma	45	.	High Confidence Driver
CDH1	16:68737416-68833499	TSG	lobular breast; gastric	gastric	200	.	High Confidence Driver
CDH11	16:64947603-65004869	TSG	aneurysmal bone cyst	.	.	.	.
CDK12	17:39462072-39531316	TSG	serous ovarian	.	.	.	High Confidence Driver
CDK4	12:57748525-57751717	oncogene	.	melanoma	.	.	.
CDK6	7:92615140-92833323	oncogene	ALL	.	.	.	.
CDKN1A	.	.	.	.	.	BLCA	High Confidence Driver
CDKN1B	12:12717840-12718946	TSG	breast; small intestine neuroendocrine tumours	pituitary; parathyroid	.	BRCA	High Confidence Driver
CDKN2A	9:21968229-21974827	TSG	melanoma; multiple other tumour types	melanoma; pancreatic	968	HNSC,LUAD	High Confidence Driver
CDKN2A(p14)	9:21957751-21984490	.	melanoma; multiple other tumour types	melanoma; pancreatic	.	.	.
CDKN2C	1:50970369-50974270	TSG	glioma; MM	.	.	.	High Confidence Driver
CDX2	13:27963115-27969006	TSG	AML	.	.	.	.
CEBPA	19:33301338-33302414	TSG	AML; MDS	.	448	LAML	High Confidence Driver
CEP170	.	.	.	.	.	.	Candidate driver
CEP89	19:32879162-32971874	.	Spitzoid tumour	.	.	.	.
CFH	.	.	.	.	.	.	High Confidence Driver
CHCHD7	8:56214614-56217435	.	salivary adenoma	.	.	.	.
CHD3	.	.	.	.	.	.	Candidate driver
CHD4	12:6570676-6606373	oncogene	uterine serous carcinoma	.	.	.	High Confidence Driver
CHD7	.	.	.	.	.	.	Candidate driver
CHD8	.	.	.	.	.	.	High Confidence Driver
CHEK2	22:28687897-28734721	TSG	.	breast	.	GBM	High Confidence Driver
CHIC2	4:54010095-54064300	.	AML	.	.	.	.
CIC	19:42284705-42295191	oncogene/TSG	oligodendroglioma; soft tissue sarcoma	.	47	.	High Confidence Driver
CIITA	16:10877332-10923304	TSG	PMBL; Hodgkin lymphoma	.	.	.	.
CLIP1	12:122272875-122380452	.	Spitzoid tumour	.	.	.	High Confidence Driver
CLP1	11:57659477-57661436	.	AML	.	.	.	.
CLTC	17:59620133-59693853	TSG	ALCL; renal	.	.	.	High Confidence Driver
CLTCL1	22:19180219-19291641	TSG	ALCL	.	.	.	High Confidence Driver
CNBP	3:129170453-129171757	TSG	aneurysmal bone cyst	.	.	.	.
CNOT1	.	.	.	.	.	.	Candidate driver
CNOT3	19:54142979-54155407	TSG	T-ALL	.	.	.	Candidate driver
CNTRL	9:121088328-121177187	.	MPN; NHL	.	.	.	.
COBLL1	.	.	.	.	.	.	Candidate driver
COL18A1	.	.	.	.	.	.	High Confidence Driver
COL1A1	17:50185502-50201513	oncogene	DFSP; aneurysmal bone cyst	.	.	.	.
COL2A1	12:47973407-48004321	oncogene	chondrosarcoma; enchondroma	.	.	.	.
COX6C	8:99878148-99892021	.	uterine leiomyoma	.	.	.	.
CREB1	2:207555637-207597059	oncogene	clear cell sarcoma; angiomatoid fibrous histiocytoma	.	.	.	High Confidence Driver
CREB3L1	11:46278112-46320746	TSG	myxofibrosarcoma	.	.	.	.
CREB3L2	7:137880476-138001705	oncogene	fibromyxoid sarcoma	.	.	.	.
CREBBP	16:3727718-3879916	oncogene/TSG	ALL; AML; DLBCL; B-NHL	.	151	.	.
CRIPAK	.	.	.	.	.	LUAD	.
CRLF2	X; Y:1196780-1212634	oncogene	B-ALL; Downs associated ALL	.	10	.	.
CRTC1	19:18683703-18777382	oncogene	salivary gland mucoepidermoid	.	.	.	High Confidence Driver
CRTC3	15:90530072-90642140	.	salivary gland mucoepidermoid	.	.	.	High Confidence Driver
CSDE1	.	.	.	.	.	.	High Confidence Driver
CSF1R	.	oncogene	.	.	48	.	.
CSF3R	1:36466357-36479496	oncogene	aCML; CNL; leukaemia lymphoma and MDS associated with severe congenital neutropenia; CMML; de novo AML; MDS	.	.	.	.
CTCF	16:67610833-67637872	TSG	endometrial; breast; head and neck cancer	.	.	UCEC	High Confidence Driver
CTNNB1	3:41224069-41239342	oncogene	colorectal; ovarian; hepatoblastoma; pleomorphic salivary gland adenoma; other tumour types	.	3262	UCEC	High Confidence Driver
CTNND1	.	.	.	.	.	.	High Confidence Driver
CTTN	.	.	.	.	.	.	High Confidence Driver
CUL1	.	.	.	.	.	.	High Confidence Driver
CUL3	.	.	.	.	.	.	Candidate driver
CUX1	7:101817640-102249042	oncogene/TSG	endometrial; melanoma; colorectal; AML; MDS; other tumour types	.	.	.	Candidate driver
CXCR4	2:136114869-136115939	oncogene	Waldenstrom macroglobulinaemia	.	.	.	.
CYC1	.	.	.	.	.	.	Candidate driver
CYLD	16:50749699-50796508	TSG	cylindroma	cylindroma	26	.	High Confidence Driver
DAB2IP	.	.	.	.	.	.	Candidate driver
DAXX	6:33318743-33321925	oncogene/TSG	pancreatic neuroendocrine tumour; paediatric glioblastoma	.	28	.	.
DCP1B	.	.	.	.	.	.	Candidate driver
DCTN1	2:74361499-74380037	.	inflammatory myofibroblastic tumour; Spitzoid tumour	.	.	.	.
DDB2	11:47215137-47238849	oncogene/TSG	.	skin basal cell; skin squamous cell; melanoma	.	.	.
DDIT3	12:57516809-57517406	TSG	liposarcoma	.	.	.	.
DDR2	1:162719064-162780246	oncogene	squamous cell carcinoma; NSCLC	.	.	.	.
DDX10	11:108665154-108940423	TSG	AML*	.	.	.	.
DDX3X	X:41334253-41347719	TSG	CLL; medulloblastoma	.	.	.	Candidate driver
DDX5	17:64499923-64506119	oncogene	prostate	.	.	.	High Confidence Driver
DDX6	11:118754712-118786218	.	B-NHL	.	.	.	.
DEK	6:18225719-18263987	.	AML	.	.	.	.
DHX9	.	.	.	.	.	.	High Confidence Driver
DICER1	14:95090498-95133458	TSG	sex cord-stromal tumour; TGCT; embryonal rhabdomyosarcoma; pleuropulmonary blastoma; pituitary blastoma; Wilms tumour; thyroid cancer; other tumour types	pleuropulmonary blastoma	.	.	High Confidence Driver
DIDO1	.	.	.	.	.	.	Candidate driver
DIS3L2	.	.	.	.	.	.	Candidate driver
DMD	.	.	.	.	.	.	High Confidence Driver
DNAJB1	19:14515940-14518349	.	fibrolamellar hepatocellular carcinoma	.	.	.	.
DNM2	19:10718243-10831047	.	T-ALL	.	.	.	.
DNM3	.	.	.	.	.	.	Candidate driver
DNMT1	.	oncogene	.	.	22	.	.
DNMT3A	2:25234279-25313984	oncogene/TSG	AML	.	788	LAML	High Confidence Driver
DOCK2	.	.	.	.	.	.	High Confidence Driver
DOCK4	.	.	.	.	.	.	Candidate driver
DOT1L	.	.	.	.	.	.	Candidate driver
DROSHA	5:31401432-31529059	TSG	Wilms tumour; NSCLC; bladder carcinoma	.	.	.	.
DST	.	.	.	.	.	.	Candidate driver
DUX4L1	4:190084229-190085686	.	soft tissue sarcoma	.	.	.	.
EBF1	5:158699111-159099478	.	lipoma	.	.	.	.
ECT2L	6:138813275-138902627	.	ETP ALL	.	.	.	.
EEF1A1	.	.	.	.	.	.	High Confidence Driver
EGFR	7:55019278-55205617	oncogene	glioma; NSCLC	NSCLC	10628	LUAD,GBM	High Confidence Driver
EIF3E	8:108201885-108248702	.	colorectal	.	.	.	.
EIF4A2	3:186783611-186789269	.	NHL	.	.	COAD/READ	High Confidence Driver
ELF3	.	.	.	.	.	BLCA	High Confidence Driver
ELF4	X:130066721-130081330	.	AML	.	.	.	.
ELK4	1:205616546-205623882	.	prostate	.	.	.	.
ELL	19:18444752-18522055	.	AL	.	.	.	.
ELN	7:74028188-74068700	.	B-ALL	.	.	.	.
EML4	2:42169613-42330208	.	NSCLC	.	.	.	.
EP300	22:41093005-41178956	TSG	colorectal; breast; pancreatic; AML; ALL; DLBCL	.	88	HNSC	High Confidence Driver
EPAS1	2:46297912-46384660	oncogene/TSG	paraganglioma; pheochromocytoma; central nervous system hemangioblastomas	.	.	.	.
EPB41L3	.	.	.	.	.	.	Candidate driver
EPHA3	.	.	.	.	.	LUAD,LUSC,HNSC	Candidate driver
EPHB6	.	.	.	.	.	LUAD	Candidate driver
EPPK1	.	.	.	.	.	.	Candidate driver
EPS15	1:51356700-51519231	.	ALL	.	.	.	.
ERBB2	17:39700239-39728044	oncogene	breast; ovarian; other tumour types; NSCLC; gastric	.	164	.	High Confidence Driver
ERBB2IP	.	.	.	.	.	.	High Confidence Driver
ERBB3	12:56080301-56102055	oncogene	colon; gastric; head and neck; bladder; skin	.	.	.	.
ERBB4	2:211383615-212538530	oncogene/TSG	melanoma; gastric; NSCLC	.	.	LUAD	Candidate driver
ERC1	12:1027904-1490230	.	papillary thyroid; Spitzoid tumour	.	.	.	.
ERCC2	19:45351629-45370237	TSG	.	skin basal cell; skin squamous cell; melanoma	.	BLCA	High Confidence Driver
ERCC3	2:127257596-127294081	.	.	skin basal cell; skin squamous cell; melanoma	.	.	.
ERCC4	16:13920166-13948347	.	.	skin basal cell; skin squamous cell; melanoma	.	.	.
ERCC5	13:102846267-102875903	.	.	skin basal cell; skin squamous cell; melanoma	.	.	.
ERG	21:38383403-38575700	.	Ewing sarcoma; prostate; AML	.	.	.	.
ESR1	6:151807913-152098966	.	breast	.	.	.	High Confidence Driver
ETNK1	12:22625164-22684954	.	aCML; CMML; SM-AHD; HES	.	.	.	.
ETV1	7:13895866-13989052	.	Ewing sarcoma; prostate	.	.	.	.
ETV4	17:43528519-43545617	.	Ewing sarcoma; prostate carcinoma	.	.	.	.
ETV5	3:186048639-186105868	.	prostate	.	.	.	.
ETV6	12:11650128-11891046	.	congenital fibrosarcoma; multiple different leukaemia and lymphoma tumour types including ALL; secretory breast; MDS	.	.	.	.
EWSR1	22:29268337-29300161	.	Ewing sarcoma; desmoplastic small round cell tumour ; ALL; clear cell sarcoma; sarcoma; myoepithelioma; mesothelioma	.	.	.	High Confidence Driver
EXT1	8:117799712-118111046	.	.	exostoses; osteosarcoma	.	.	.
EXT2	11:44107713-44244287	.	.	exostoses; osteosarcoma	.	.	.
EZH2	7:148807646-148847298	oncogene/TSG	DLBCL	.	276	.	High Confidence Driver
EZR	6:158766914-158818093	oncogene	NSCLC	.	.	.	.
FAM123B	.	TSG	.	.	55	.	.
FAM129B	.	.	.	.	.	.	Candidate driver
FAM131B	7:143356550-143360093	.	pilocytic astrocytoma	.	.	.	.
FAM46C	1:117622869-117624044	.	MM	.	.	.	.
FANCA	16:89738601-89816615	.	.	AML; leukaemia	.	.	High Confidence Driver
FANCC	9:95101707-95249291	.	.	AML; leukaemia	.	.	.
FANCD2	3:10028658-10098950	.	.	AML; leukaemia	.	.	.
FANCE	6:35452546-35466345	.	.	AML; leukaemia	.	.	.
FANCF	11:22624686-22625810	.	.	AML; leukaemia	.	.	.
FANCG	9:35074108-35079524	.	.	AML; leukaemia	.	.	.
FAS	10:88990877-89014450	.	TGCT; nasal NK/T lymphoma; skin squamous cell carcinoma-burn scar related	.	.	.	.
FAT1	4:186588592-186709827	TSG	oral squamous cell; chemorefractory CLL; head and neck; pancreatic acinar cell carcinoma	pancreatic	.	.	.
FAT4	4:125316412-125491768	TSG	lymphoma; pancreatic; head and neck; melanoma; hepatocellular carcinoma	.	.	.	.
FBN2	.	.	.	.	.	.	High Confidence Driver
FBXO11	2:47808118-47839749	.	DLBCL	.	.	.	High Confidence Driver
FBXW7	4:152322881-152411803	TSG	colorectal; endometrial; T-ALL	.	312	UCEC,COAD/READ,LUSC,HNSC	High Confidence Driver
FCGR2B	1:161663242-161677553	.	ALL	.	.	.	.
FCHO2	.	.	.	.	.	.	Candidate driver
FCRL4	1:157575524-157597944	.	B-NHL	.	.	.	.
FES	.	.	.	.	.	.	High Confidence Driver
FEV	2:218981667-218985075	.	Ewing sarcoma	.	.	.	.
FGFR1	8:38413628-38457446	.	MPN; NHL; salivary adenoma	.	.	.	.
FGFR1OP	6:166999414-167039979	.	MPN; NHL	.	.	.	.
FGFR2	10:121479857-121593817	oncogene	gastric; NSCLC; endometrial	.	121	UCEC	High Confidence Driver
FGFR3	4:1793935-1807262	oncogene	bladder; MM; T-cell lymphoma	.	2948	KIRC	High Confidence Driver
FGFR4	5:177089603-177097676	.	rhabdomyosarcoma	.	.	.	.
FH	1:241497828-241519722	.	.	leiomyomatosis; renal	.	.	.
FHIT	3:59752226-60536962	.	pleomorphic salivary gland adenoma	.	.	.	.
FIP1L1	4:53377840-53459450	.	idiopathic hypereosinophilic syndrome	.	.	.	.
FLCN	17:17213655-17228137	.	.	renal; fibrofolliculomas; trichodiscomas	.	.	.
FLI1	11:128694259-128810988	.	Ewing sarcoma	.	.	.	.
FLNA	.	.	.	.	.	.	Candidate driver
FLT3	13:28004052-28100510	oncogene	AML; ALL	.	11520	LAML	High Confidence Driver
FLT4	5:180608281-180649545	.	soft tissue sarcoma	.	.	.	.
FN1	.	.	.	.	.	.	High Confidence Driver
FNBP1	9:129890539-130042975	.	AML	.	.	.	.
FOSL2	.	.	.	.	.	.	Candidate driver
FOXA1	14:37591365-37594972	.	breast; prostate	.	.	BRCA,BLCA	High Confidence Driver
FOXA2	.	.	.	.	.	.	High Confidence Driver
FOXL2	3:138945592-138946722	oncogene	granulosa-cell tumour of the ovary	.	330	.	.
FOXO1	13:40555680-40666212	oncogene/TSG	alveolar rhabdomyosarcoma	.	.	.	.
FOXO3	6:108561209-108664855	oncogene/TSG	AL	.	.	.	.
FOXO4	X:71096529-71102084	oncogene/TSG	AL; soft tissue sarcoma	.	.	.	.
FOXP1	3:70959247-71198381	oncogene	ALL	.	.	.	.
FRG1B	.	.	.	.	.	.	High Confidence Driver
FSTL3	19:676425-681709	.	B-CLL	.	.	.	.
FUBP1	1:77949146-77979004	TSG	oligodendroglioma	.	9	.	.
FUS	16:31180215-31191438	oncogene	liposarcoma; AML; Ewing sarcoma; angiomatoid fibrous histiocytoma; fibromyxoid sarcoma	.	.	.	.
G3BP1	.	.	.	.	.	.	Candidate driver
GAB3	.	.	.	.	.	.	Candidate driver
GAS7	17:9917228-10198390	.	AML*	.	.	.	.
GATA1	X:48791110-48794164	oncogene/TSG	megakaryoblastic leukaemia of Downs syndrome	.	203	.	.
GATA2	3:128481019-128487031	oncogene	AML (CML blast transformation)	.	45	.	.
GATA3	10:8055656-8074023	oncogene/TSG	breast	.	33	BRCA	High Confidence Driver
GDI1	.	.	.	.	.	.	Candidate driver
GIGYF2	.	.	.	.	.	.	Candidate driver
GMPS	3:155870871-155937692	.	AML	.	.	.	.
GNA11	19:3094652-3121179	oncogene	uveal melanoma; primary central nervous system melanocytic neoplasms	.	110	.	.
GNAI1	.	.	.	.	.	.	High Confidence Driver
GNAQ	9:77721323-78031235	oncogene	uveal melanoma; primary central nervous system melanocytic neoplasms	.	245	.	.
GNAS	20:58891727-58910829	oncogene	pituitary adenoma; pancreatic intraductal papillary mucinous neoplasm; fibrous dysplasia	.	422	.	High Confidence Driver
GNL3L	.	.	.	.	.	.	Candidate driver
GOLGA5	14:92797439-92839447	.	papillary thyroid; Spitzoid tumour	.	.	.	High Confidence Driver
GOPC	6:117563254-117602288	.	glioblastoma; cholangiocarcinoma; borderline ovarian	.	.	.	.
GOT2	.	.	.	.	.	.	High Confidence Driver
GPC3	X:133536124-133985449	.	.	Wilms tumour	.	.	.
GPHN	14:66508529-67180938	.	AL	.	.	.	High Confidence Driver
GPS2	.	.	.	.	.	.	High Confidence Driver
GRIN2A	16:9763149-10180411	.	melanoma; colorectal carcinoma; gastric carcinoma; lung carcinoma	.	.	.	.
GRIN3A	.	.	.	.	.	.	Candidate driver
GTF2H1	.	.	.	.	.	.	High Confidence Driver
H3F3A	1:226064352-226071479	oncogene	glioma	.	122	.	.
H3F3B	17:75778595-75779174	.	chondroblastoma	.	.	.	.
H3F3C	.	.	.	.	.	LUAD	High Confidence Driver
HERC1	.	.	.	.	.	.	Candidate driver
HERPUD1	16:56932245-56943290	.	prostate	.	.	.	.
HEY1	8:79765188-79767663	.	mesenchymal chondrosarcoma	.	.	.	.
HGF	.	.	.	.	.	LUAD	High Confidence Driver
HIF1A	14:61695805-61747085	oncogene	endometrioid carcinoma; glioblastoma; colorectal; renal; lung; pancreatic	.	.	.	.
HIP1	7:75538172-75738920	.	CMML; NSCLC	.	.	.	.
HIST1H1C	.	.	.	.	.	HNSC	Candidate driver
HIST1H2BD	.	.	.	.	.	UCEC,HNSC	Candidate driver
HIST1H3B	6:26031650-26032060	oncogene	glioma	.	25	.	.
HIST1H4I	6:27107089-27107660	.	NHL	.	.	.	.
HLA-A	6:29942554-29945455	.	Spitzoid tumour	.	.	.	High Confidence Driver
HLA-B	.	.	.	.	.	.	High Confidence Driver
HLF	17:55265486-55320880	oncogene	ALL	.	.	.	.
HMGA1	6:34240781-34244884	.	microfollicular thyroid adenoma; various benign mesenchymal tumours	.	.	.	.
HMGA2	12:65825271-65963292	oncogene	lipoma; leiomyoma; pleomorphic salivary gland adenoma	.	.	.	.
HMGN2P46	15:-	.	prostate	.	.	.	.
HMGXB4	.	.	.	.	.	.	High Confidence Driver
HNF1A	12:120978769-121001192	TSG	hepatic adenoma; hepatocellular	hepatic adenoma; hepatocellular carcinoma	126	.	.
HNRNPA2B1	7:26190125-26200577	.	prostate	.	.	.	.
HOOK3	8:42897132-43018498	.	papillary thyroid	.	.	.	.
HOXA11	7:27182796-27185144	oncogene	CML	.	.	.	.
HOXA13	7:27198198-27200077	oncogene	AML	.	.	.	.
HOXA9	7:27163603-27165457	oncogene	AML*	.	.	.	.
HOXC11	12:53973243-53975414	oncogene	AML	.	.	.	.
